Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
5135.118Fe1,5147.920Ni1,42,6.720379752379986,761297.0782815176,-4.728396950258956,-10.078881646364996,-729.5537159107679,0.00039260944740009265,-105.91498587315648,109.4588234019085
5137.524Fe1,5145.156Fe1,42,14.482802624986402,476696.28684166644,-8.910212140294488,-125.19301564845713,-2400.535130515772,0.0007458144953738391,-0.05008783153278329,293.3646139919197
5137.524Fe1,5146.101Cr1,42,39.5329101294204,507022.8772707261,-5.226209084475523,-396.8900116028822,4395.781572335915,0.00039044089756334915,-83.09587127382886,-469.5165849713204
5137.524Fe1,5147.551Fe2,42,53.0103099830766,738620.6308594636,-35.20142393803586,-628.7292244963162,-24119.092550866455,0.0030018106539605057,-364.4260752277838,2862.5076674814204
5137.524Fe1,5147.740Fe1,42,56.77108368152672,606408.12674498,-7.323918534279732,121.2688623267654,2771.8624676283966,0.0007370531474143674,-619.876690972254,-264.6824967036197
5138.510Ni1,5138.813Fe1,42,9.750461953071936,14007.477828660796,-0.4291451804665429,-14.721413754923928,2941.4454481135454,2.026912066702989e-05,175.33302224574322,-363.2034641329253
5138.510Ni1,5140.894Fe1,42,14.389280955559762,114574.58741346333,4.738715406992546,-67.63793738293948,5922.695843953076,-0.00043376937870388403,234.48020520476504,-719.2727791045709
5138.510Ni1,5143.171Fe1,42,10.100014495873344,260081.99172944634,1.6155952972730119,-35.19487837405303,3796.213526822971,-0.00015245193698304284,165.10538511564843,-454.5317689020867
5138.510Ni1,5144.213Ni1,42,22.717860395491257,365053.6670496706,-11.221222093611098,517.4800065405158,158.5122987291858,0.000983395376726983,163.6179361324114,-38.14346311561316
5138.510Ni1,5147.920Ni1,42,10.321005244629493,557025.7773502313,-3.8084145447146716,7.4716921865677755,1703.460169443492,0.000301494012102236,109.06663462632828,-202.63279486021153
5138.510Ni1,5149.476Fe1,42,15.438474200358344,649159.7221812928,-4.551551428879072,79.65073766313613,1802.9006805396195,0.0003858000985153488,52.53134532599382,-214.76421668731896
5138.510Ni1,5149.663Fe1,42,12.914877603715963,641196.7034571132,1.3651096635416398,-5.572884900614239,3171.5362169449195,-0.00015607917877668253,248.64077732096206,-387.20777661324547
5138.813Fe1,5140.894Fe1,42,6.674541788160155,104690.58882779078,4.991942043919381,-51.74147320825979,1319.1919738857844,-0.0004378683912229936,77.0549118822943,-166.8080753667717
5138.813Fe1,5143.171Fe1,42,2.344000604189248,249085.6062324502,2.175293443555765,-14.218058556941926,-708.4862624660478,-0.00018363273973789166,-22.28590522945133,88.23952671153573
5138.813Fe1,5144.213Ni1,42,23.781455696141233,362331.89145486144,-11.108622117387872,550.2269553875112,-7589.164870778977,0.0009928889891297585,-1.5305471801320252,877.2499608911336
5138.813Fe1,5147.920Ni1,42,5.062841858043874,542635.52621445,-2.8256533220478333,21.58575155023623,-1794.1636749785823,0.00023320067873823497,-98.82845524453833,224.43724344411618
5138.813Fe1,5149.476Fe1,42,12.678162113614766,633982.3854261043,-3.484541507139464,86.16133137624291,-1434.59737704193,0.00031012786643077163,-126.53512618017776,181.3436851643352
5138.813Fe1,5149.663Fe1,42,7.278413422918144,629467.6832900427,0.7278026508612669,7.752891830941108,600.0122672153187,-8.374875306589407e-05,92.64452743825396,-67.27861740631974
5140.894Fe1,5143.171Fe1,42,8.32877150843272,145360.58953669903,-3.20273114800488,39.37502245627906,-1965.8943776311214,0.00028800639603371715,-78.77026557028954,248.05459958884416
5140.894Fe1,5147.920Ni1,42,10.08389058505221,437844.73271225445,-8.137772408005146,73.80150316390495,-2650.186527859014,0.0006988586089500835,-153.71973763415377,338.74370688202356
5140.894Fe1,5149.663Fe1,42,8.247960723327436,525258.8222927444,-4.544824021878371,58.26381235008498,-559.8196678020383,0.00037828712577364935,19.80451896761725,80.49724701171935
